time,sst
1873-06-01,21.266768
1873-07-01,20.717482
1873-08-01,19.966331
1873-09-01,19.991438
1873-10-01,20.646446
1873-11-01,21.474703
1873-12-01,22.338655
1874-01-01,22.93335
1874-02-01,23.525923
1874-03-01,23.545666
1874-04-01,23.00872
1874-05-01,22.15784
1874-06-01,21.248772
1874-07-01,20.416466
1874-08-01,20.027021
1874-09-01,20.079063
1874-10-01,20.805504
1874-11-01,21.84016
1874-12-01,22.704937
1875-01-01,23.26078
1875-02-01,23.222935
1875-03-01,22.929976
1875-04-01,22.817589
1875-05-01,21.999075
1875-06-01,20.967802
1875-07-01,20.198828
1875-08-01,19.895157
1875-09-01,20.117332
1875-10-01,20.797035
1875-11-01,21.808266
1875-12-01,22.616392
1876-01-01,23.461664
1876-02-01,23.802929
1876-03-01,23.467218
1876-04-01,22.856894
1876-05-01,21.72364
1876-06-01,20.792372
1876-07-01,20.118446
1876-08-01,19.843767
1876-09-01,19.62395
1876-10-01,20.260582
1876-11-01,21.312212
1876-12-01,22.022636
1877-01-01,22.378954
1877-02-01,23.062756
1877-03-01,23.02731
1877-04-01,22.632023
1877-05-01,21.90802
1877-06-01,20.607698
1877-07-01,19.911829
1877-08-01,19.447084
1877-09-01,19.822649
1877-10-01,20.375824
1877-11-01,21.370476
1877-12-01,22.488382
1878-01-01,23.325794
1878-02-01,23.5068
1878-03-01,23.418995
1878-04-01,22.774698
1878-05-01,22.064587
1878-06-01,21.247566
1878-07-01,20.310091
1878-08-01,20.016924
1878-09-01,20.371729
1878-10-01,21.117561
1878-11-01,21.690798
1878-12-01,22.445244
1879-01-01,22.89437
1879-02-01,23.16808
1879-03-01,23.097008
1879-04-01,22.620481
1879-05-01,22.190414
1879-06-01,21.343508
1879-07-01,20.783623
1879-08-01,20.25099
1879-09-01,20.007627
1879-10-01,20.639309
1879-11-01,21.77741
1879-12-01,22.414476
1880-01-01,23.028513
1880-02-01,23.443499
1880-03-01,23.448479
1880-04-01,23.052427
1880-05-01,22.022743
1880-06-01,20.952705
1880-07-01,19.986122
1880-08-01,19.844398
1880-09-01,20.240753
1880-10-01,20.629396
1880-11-01,21.583551
1880-12-01,22.27703
1881-01-01,22.893946
1881-02-01,23.140688
1881-03-01,23.19704
1881-04-01,22.833824
1881-05-01,21.760384
1881-06-01,20.874859
1881-07-01,20.178236
1881-08-01,19.807137
1881-09-01,19.832106
1881-10-01,20.57373
1881-11-01,21.53084
1881-12-01,22.432196
1882-01-01,23.296406
1882-02-01,23.397377
1882-03-01,23.226398
1882-04-01,22.816053
1882-05-01,22.051735
1882-06-01,21.032087
1882-07-01,20.20121
1882-08-01,19.732264
1882-09-01,19.959755
1882-10-01,20.518314
1882-11-01,21.544601
1882-12-01,22.463003
1883-01-01,22.975193
1883-02-01,22.963942
1883-03-01,22.740242
1883-04-01,22.364214
1883-05-01,21.684486
1883-06-01,20.950996
1883-07-01,20.102407
1883-08-01,19.769447
1883-09-01,19.831593
1883-10-01,20.33094
1883-11-01,21.178642
1883-12-01,22.024109
1884-01-01,22.493862
1884-02-01,22.754776
1884-03-01,22.76751
1884-04-01,22.499973
1884-05-01,21.324226
1884-06-01,20.32783
1884-07-01,19.582573
1884-08-01,19.370508
1884-09-01,19.481295
1884-10-01,20.215925
1884-11-01,21.213829
1884-12-01,22.293749
1885-01-01,22.762308
1885-02-01,22.877632
1885-03-01,22.651953
1885-04-01,22.25543
1885-05-01,21.365232
1885-06-01,20.323952
1885-07-01,19.53362
1885-08-01,19.127192
1885-09-01,19.289824
1885-10-01,20.102999
1885-11-01,20.98337
1885-12-01,22.161657
1886-01-01,22.585238
1886-02-01,22.922789
1886-03-01,22.878197
1886-04-01,22.7326
1886-05-01,21.889174
1886-06-01,20.816343
1886-07-01,20.07016
1886-08-01,19.707472
1886-09-01,19.94831
1886-10-01,20.512333
1886-11-01,21.436495
1886-12-01,22.146252
1887-01-01,22.876245
1887-02-01,22.988943
1887-03-01,22.939514
1887-04-01,22.312183
1887-05-01,21.564886
1887-06-01,20.420961
1887-07-01,19.647165
1887-08-01,19.372318
1887-09-01,19.569542
1887-10-01,20.35609
1887-11-01,21.545628
1887-12-01,22.369343
1888-01-01,22.685846
1888-02-01,22.82129
1888-03-01,22.697226
1888-04-01,22.432993
1888-05-01,21.478352
1888-06-01,20.538637
1888-07-01,19.697807
1888-08-01,19.302002
1888-09-01,19.5064
1888-10-01,20.313026
1888-11-01,21.412838
1888-12-01,22.456255
1889-01-01,23.172771
1889-02-01,23.257215
1889-03-01,23.419044
1889-04-01,22.885002
1889-05-01,22.028221
1889-06-01,21.115145
1889-07-01,20.416151
1889-08-01,19.873
1889-09-01,20.106323
1889-10-01,20.783836
1889-11-01,21.857994
1889-12-01,22.596336
1890-01-01,23.37641
1890-02-01,23.646757
1890-03-01,23.353521
1890-04-01,22.778284
1890-05-01,22.05025
1890-06-01,21.185558
1890-07-01,20.202639
1890-08-01,20.029613
1890-09-01,20.13776
1890-10-01,20.732967
1890-11-01,21.765373
1890-12-01,22.607635
1891-01-01,22.89372
1891-02-01,22.998518
1891-03-01,22.979586
1891-04-01,22.777378
1891-05-01,21.902956
1891-06-01,20.986832
1891-07-01,19.774315
1891-08-01,19.55952
1891-09-01,19.864716
1891-10-01,20.627123
1891-11-01,21.594484
1891-12-01,22.321484
1892-01-01,23.361727
1892-02-01,23.73379
1892-03-01,23.57514
1892-04-01,23.031332
1892-05-01,21.884249
1892-06-01,20.620491
1892-07-01,19.85956
1892-08-01,20.092169
1892-09-01,20.714705
1892-10-01,21.355366
1892-11-01,22.36103
1892-12-01,23.02217
1893-01-01,23.719667
1893-02-01,23.812061
1893-03-01,23.572992
1893-04-01,23.149523
1893-05-01,22.467815
1893-06-01,21.353323
1893-07-01,20.421217
1893-08-01,20.141567
1893-09-01,20.272207
1893-10-01,20.985415
1893-11-01,22.151274
1893-12-01,22.528475
1894-01-01,23.068987
1894-02-01,23.493568
1894-03-01,23.314848
1894-04-01,22.997948
1894-05-01,21.918219
1894-06-01,20.784176
1894-07-01,20.08748
1894-08-01,19.61031
1894-09-01,20.069654
1894-10-01,20.840542
1894-11-01,21.710302
1894-12-01,22.604744
1895-01-01,23.043505
1895-02-01,23.555204
1895-03-01,23.320864
1895-04-01,22.596704
1895-05-01,21.713072
1895-06-01,20.90677
1895-07-01,20.044424
1895-08-01,19.690453
1895-09-01,19.764223
1895-10-01,20.366423
1895-11-01,21.268106
1895-12-01,22.547802
1896-01-01,23.07766
1896-02-01,23.313042
1896-03-01,23.296825
1896-04-01,23.246918
1896-05-01,21.794151
1896-06-01,20.686144
1896-07-01,19.957558
1896-08-01,19.600283
1896-09-01,19.705748
1896-10-01,20.586027
1896-11-01,21.865355
1896-12-01,22.509144
1897-01-01,23.130737
1897-02-01,23.142698
1897-03-01,23.473255
1897-04-01,22.918089
1897-05-01,21.768312
1897-06-01,20.783958
1897-07-01,20.075964
1897-08-01,19.598005
1897-09-01,19.847548
1897-10-01,20.609444
1897-11-01,21.763243
1897-12-01,22.864
1898-01-01,23.356337
1898-02-01,23.57535
1898-03-01,22.908037
1898-04-01,22.188906
1898-05-01,21.270033
1898-06-01,20.640446
1898-07-01,19.854645
1898-08-01,19.443819
1898-09-01,19.804213
1898-10-01,20.316236
1898-11-01,21.477089
1898-12-01,22.259798
1899-01-01,22.885817
1899-02-01,23.247627
1899-03-01,23.151064
1899-04-01,22.626177
1899-05-01,21.800434
1899-06-01,20.711344
1899-07-01,19.847046
1899-08-01,19.59295
1899-09-01,19.662882
1899-10-01,20.028038
1899-11-01,21.017754
1899-12-01,22.067696
1900-01-01,22.951048
1900-02-01,23.37577
1900-03-01,23.289118
1900-04-01,22.600863
1900-05-01,21.801586
1900-06-01,20.927376
1900-07-01,20.084972
1900-08-01,19.736176
1900-09-01,19.898232
1900-10-01,20.866068
1900-11-01,21.813562
1900-12-01,22.618313
1901-01-01,22.903685
1901-02-01,22.902727
1901-03-01,22.776392
1901-04-01,22.411879
1901-05-01,21.516827
1901-06-01,20.459318
1901-07-01,19.833384
1901-08-01,19.318636
1901-09-01,19.447714
1901-10-01,19.885027
1901-11-01,21.267529
1901-12-01,22.002916
1902-01-01,22.491192
1902-02-01,22.908993
1902-03-01,22.84677
1902-04-01,22.438326
1902-05-01,21.459002
1902-06-01,20.158808
1902-07-01,19.51206
1902-08-01,19.083763
1902-09-01,19.164536
1902-10-01,19.840086
1902-11-01,20.965029
1902-12-01,21.931995
1903-01-01,22.663074
1903-02-01,23.09155
1903-03-01,22.816553
1903-04-01,22.22438
1903-05-01,21.52879
1903-06-01,20.462988
1903-07-01,19.60917
1903-08-01,19.296673
1903-09-01,19.512754
1903-10-01,20.212305
1903-11-01,21.022997
1903-12-01,21.930042
1904-01-01,22.739216
1904-02-01,22.91934
1904-03-01,22.838064
1904-04-01,22.297781
1904-05-01,21.37796
1904-06-01,20.30758
1904-07-01,19.660395
1904-08-01,19.055052
1904-09-01,19.123697
1904-10-01,19.881792
1904-11-01,20.883852
1904-12-01,21.90439
1905-01-01,22.433983
1905-02-01,22.584946
1905-03-01,22.851013
1905-04-01,22.555798
1905-05-01,21.645647
1905-06-01,20.602629
1905-07-01,19.55011
1905-08-01,18.915264
1905-09-01,19.01355
1905-10-01,19.60583
1905-11-01,20.871126
1905-12-01,22.234674
1906-01-01,23.1532
1906-02-01,23.20197
1906-03-01,22.955303
1906-04-01,22.298216
1906-05-01,21.41573
1906-06-01,20.527216
1906-07-01,19.707165
1906-08-01,19.367495
1906-09-01,19.856714
1906-10-01,20.520039
1906-11-01,21.001554
1906-12-01,21.993792
1907-01-01,22.65766
1907-02-01,22.883125
1907-03-01,22.691353
1907-04-01,22.202478
1907-05-01,21.278654
1907-06-01,20.45093
1907-07-01,19.675518
1907-08-01,19.444399
1907-09-01,19.708826
1907-10-01,20.235613
1907-11-01,21.08152
